"Group.1","home_wp","yards_gained","shotgun","no_huddle","qb_dropback","qb_scramble","rush_attempt","pass_attempt","penalty_yards","drive_play_count","drive_time_of_possession1","third_conversion1","fourth_conversion1","timeout","penalty"
"Doug Pederson_2018",0.533343829414173,4.21992619926199,0.557434813248767,0.0683579985905567,0.493362831858407,0.0169133192389006,0.263468634686347,0.478966789667897,8.33070866141732,7.64655784244145,215.205110007097,0.379310344827586,0.666666666666667,52,128
"Doug Pederson_2019",0.515100388250159,3.69191270860077,0.506469500924214,0.0696241528034504,0.465041693393201,0.0160197165742452,0.287548138639281,0.449935815147625,8.1328125,7.12523248605084,199.026038437694,0.374015748031496,0.315789473684211,68,129
"Doug Pederson_2020",0.438218382783949,3.63077984817115,0.55408095554081,0.0670205706702057,0.463077984817115,0.0252156602521566,0.307108350586611,0.439613526570048,8.34513274336283,7.30373831775701,198.349799732977,0.373831775700935,0.307692307692308,67,114
"Frank Reich_2018",0.612523930682111,4.33887283236994,0.504504504504504,0.0997920997920998,0.449819494584838,0.0152460152460152,0.304913294797688,0.438583815028902,8.43697478991597,7.93286713286713,222.107692307692,0.504950495049505,0.461538461538462,56,120
"Frank Reich_2019",0.595153767640642,3.9830007390983,0.496113074204947,0.0798586572438163,0.458026509572901,0.0204946996466431,0.306725794530673,0.44050258684405,8.06666666666667,7.72669039145907,218.024911032028,0.400990099009901,0.5,57,106
"Frank Reich_2020",0.579413288979743,4.19925650557621,0.536984352773827,0.0704125177809388,0.427299703264095,0.0120910384068279,0.331598513011152,0.420074349442379,8.85555555555556,7.44523979957051,209.254115962777,0.38265306122449,0.619047619047619,48,91
"Freddie Kitchens_2019",0.59877513164809,4.11563636363636,0.509215017064846,0.0443686006825939,0.450254175744372,0.0204778156996587,0.309090909090909,0.434181818181818,9.28571428571429,7.17531556802244,199.443899018233,0.371727748691099,0.222222222222222,59,127
"Gregg Williams_2018",0.578927130291545,4.90015600624025,0.498507462686567,0.0597014925373134,0.465732087227414,0.0223880597014925,0.304212168486739,0.447737909516381,6.95918367346939,7.72781954887218,231.172932330827,0.397727272727273,0.666666666666667,24,50
"Hue Jackson_2018",0.383812015846947,3.78934010152284,0.493917274939173,0.0535279805352798,0.454430379746835,0.0206812652068127,0.312182741116751,0.441624365482233,8.296875,6.44143033292232,171.09617755857,0.333333333333333,0.428571428571429,36,65
"Jason Garrett_2018",0.713843237894358,3.96847753185781,0.469794344473008,0.0623393316195373,0.448021462105969,0.0199228791773779,0.317907444668008,0.427900737759893,8.12745098039216,7.88586251621271,227.883916990921,0.407079646017699,0.6875,71,103
"Jason Garrett_2019",0.616163787893211,4.56364922206506,0.46195652173913,0.11820652173913,0.453389830508475,0.0176630434782609,0.315417256011315,0.437057991513437,8.83,7.56625683060109,199.11543715847,0.416243654822335,0.458333333333333,58,101
"Jay Gruden_2018",0.445235740813138,3.90037453183521,0.522645578720345,0.0496046010064702,0.467415730337079,0.0309130122214234,0.30187265917603,0.442696629213483,8.8,7.35127272727273,209.173090909091,0.398058252427184,0.473684210526316,52,111
"Jay Gruden_2019",0.263030360926536,4.03149606299213,0.481132075471698,0.0943396226415094,0.461689587426326,0.00943396226415094,0.281496062992126,0.456692913385827,7.95555555555556,7.15180265654649,203.070208728653,0.382352941176471,0.571428571428571,19,46
"Joe Judge_2020",0.486996383417203,3.85033507073716,0.514285714285714,0.224285714285714,0.462797619047619,0.0214285714285714,0.315711094564408,0.441548771407297,7.73809523809524,8.19726421886249,227.219582433405,0.425742574257426,0.619047619047619,66,85
"Joe Philbin_2018",0.517048279910651,3.61242603550296,0.471590909090909,0.105113636363636,0.482248520710059,0.0198863636363636,0.29585798816568,0.464497041420118,7.77777777777778,7.92816091954023,213.066091954023,0.4,0.714285714285714,14,28
"John Harbaugh_2018",0.601217618790557,3.69167196439924,0.575442883323152,0.0946854001221747,0.41423125794155,0.015271838729383,0.338842975206612,0.401780038143675,8.368,7.71975308641975,212.481481481481,0.406374501992032,0.545454545454545,74,126
"John Harbaugh_2019",0.655835512077228,4.34857521537442,0.618170266836086,0.0813214739517154,0.419589675711449,0.0222363405336722,0.353876739562624,0.398939695162359,7.67857142857143,7.7431133888533,219.430493273543,0.4337899543379,0.384615384615385,68,113
"John Harbaugh_2020",0.706655784694202,4.14189693801344,0.636819484240688,0.0802292263610315,0.433159073935773,0.0243553008595989,0.349514563106796,0.410007468259895,8.91578947368421,7.94588744588745,219.605339105339,0.454545454545455,0.423076923076923,58,96
